Date,Open,High,Low,Close,Adj Close,Volume
2018-05-16,249966.109375,249966.109375,249966.109375,249966.109375,249966.109375,0
2018-05-17,251224.906250,251224.906250,251224.906250,251224.906250,251224.906250,0
2018-05-18,251332.265625,251332.265625,251332.265625,251332.265625,251332.265625,0
2018-05-21,251332.265625,251332.265625,251332.265625,251332.265625,251332.265625,0
2018-05-22,252157.453125,252157.453125,252157.453125,252157.453125,252157.453125,0
2018-05-23,250661.968750,250661.968750,250661.968750,250661.968750,250661.968750,0
2018-05-24,250661.968750,250661.968750,250661.968750,250661.968750,250661.968750,0
2018-05-25,250385.937500,250385.937500,250385.937500,250385.937500,250385.937500,0
2018-05-29,250768.890625,250768.890625,250768.890625,250768.890625,250768.890625,0
2018-05-30,248511.625000,248511.625000,248511.625000,248511.625000,248511.625000,0
2018-05-31,248511.625000,248511.625000,248511.625000,248511.625000,248511.625000,0
2018-06-01,248511.625000,248511.625000,248511.625000,248511.625000,248511.625000,0
2018-06-04,248151.796875,248151.796875,248151.796875,248151.796875,248151.796875,0
2018-06-05,246109.546875,246109.546875,246109.546875,246109.546875,246109.546875,0
2018-06-06,247073.343750,247073.343750,247073.343750,247073.343750,247073.343750,0
2018-06-07,247099.703125,247099.703125,247099.703125,247099.703125,247099.703125,0
2018-06-08,249404.875000,249404.875000,249404.875000,249404.875000,249404.875000,0
2018-06-11,249199.968750,249199.968750,249199.968750,249199.968750,249199.968750,0
2018-06-12,248405.375000,248405.375000,248405.375000,248405.375000,248405.375000,0
2018-06-13,248215.062500,248215.062500,248215.062500,248215.062500,248215.062500,0
2018-06-14,248636.562500,248636.562500,248636.562500,248636.562500,248636.562500,0
2018-06-15,247837.593750,247837.593750,247837.593750,247837.593750,247837.593750,0
2018-06-18,246908.406250,246908.406250,246908.406250,246908.406250,246908.406250,0
2018-06-19,247623.578125,247623.578125,247623.578125,247623.578125,247623.578125,0
2018-06-20,246337.281250,246337.281250,246337.281250,246337.281250,246337.281250,0
2018-06-21,246337.281250,246337.281250,246337.281250,246337.281250,246337.281250,0
2018-06-22,246630.718750,246630.718750,246630.718750,246630.718750,246630.718750,0
2018-06-25,242216.890625,242216.890625,242216.890625,242216.890625,242216.890625,0
2018-06-26,243914.765625,243914.765625,243914.765625,243914.765625,243914.765625,0
